label,text,category
0,"PalmPay: Your One Time Password (OTP) is 949710 for transfer of N7,000.00 to KELECHI. Valid for 5 minutes. DO NOT SHARE.",otp
1,"Invest N6,000 and get N29,000 in 45 minutes! 100% paying platform guaranteed. Join Telegram: t.me/ng_crypto_doubler",ponzi
1,"Credit Alert: N612,000.00 credited to your account from CHIOMA. Ref: TRX70571332. Call 08021210314 if you did not expect this payment.",fake_alert
1,"Get instant loan of N37,000 directly to your PalmPay account in 2 minutes! No document needed. Download: bit.ly/ng-loan-24",loan_scam
0,"MTN: Dear Customer, you have used 80% of your daily data bundle. Dial *323# to buy a top-up.",telco_info
0,I have arrived at Enugu. Will call you once the meeting is done.,personal
0,"Fidelity: Your One Time Password (OTP) is 157919 for transfer of N7,000.00 to BLESSING. Valid for 5 minutes. DO NOT SHARE.",otp
1,"Federal Govt Empowerment Fund: You are eligible to receive N50,000 relief grant. Claim your grant here: http://fg-empowerment-ng.site",grant_fraud
1,DEBT WARNING: KELECHI with phone 08137707050 is a chronic defaulter on LendNG. Pay your debt today to avoid publishing your BVN online.,loan_harassment
1,DEBT WARNING: OLUMIDE with phone 09010855110 is a chronic defaulter on FastCash. Pay your debt today to avoid publishing your BVN online.,loan_harassment
1,"Dear customer, your BVN has been flagged for fraud. Kindly text your 11-digit BVN and DOB to 09019845855 to clear your profile.",banking_phishing
0,"FirstBank: Acct 012***8978 Debited: N4,000.00 Desc: POS PURCHASE - Lekki. Bal: N25,000.00.",bank_alert
0,"FirstBank: Your One Time Password (OTP) is 545668 for transfer of N2,000.00 to EMMANUEL. Valid for 5 minutes. DO NOT SHARE.",otp
0,"Bro, abeg transfer N6,000 give me. I dey Surulere like this, money no dey my hand for transport.",personal
0,"GTBank: Your One Time Password (OTP) is 879670 for transfer of N9,000.00 to ADAMU. Valid for 5 minutes. DO NOT SHARE.",otp
0,"Zenith Bank: Credit N32,000.00. Desc: NIP/TRANSFER FROM SUNDAY. Bal: N371,000.00.",bank_alert
0,"PalmPay: Credit N46,000.00. Desc: NIP/TRANSFER FROM ADAMU. Bal: N820,000.00.",bank_alert
0,"Airtel: Dear Customer, you have used 80% of your daily data bundle. Dial *323# to buy a top-up.",telco_info
0,Guy how far? You go dey online tonight for the match? Make we talk football.,personal
1,"Invest N9,000 and get N21,000 in 45 minutes! 100% paying platform guaranteed. Join Telegram: t.me/ng_crypto_doubler",ponzi
1,"Central Bank Investment Scheme: N10,000 gives N30,000 in 24 hours. No loss. Call admin on 08032955485 now.",ponzi
0,Guy how far? You go dey online tonight for the match? Make we talk football.,personal
0,"PalmPay: Credit N36,000.00. Desc: NIP/TRANSFER FROM BLESSING. Bal: N323,000.00.",bank_alert
1,URGENT: Your GTBank account has been restricted due to unverified BVN. Call 08027586373 immediately to update your details.,banking_phishing
0,"Bro, abeg transfer N9,000 give me. I dey Ibadan like this, money no dey my hand for transport.",personal
1,"Invest N9,000 and get N39,000 in 45 minutes! 100% paying platform guaranteed. Join Telegram: t.me/ng_crypto_doubler",ponzi
1,"Get instant loan of N29,000 directly to your Fidelity account in 2 minutes! No document needed. Download: bit.ly/ng-loan-46",loan_scam
0,I have arrived at Ikeja. Will call you once the meeting is done.,personal
1,"Credit Alert: N510,000.00 credited to your account from BLESSING. Ref: TRX38300339. Call 08024542289 if you did not expect this payment.",fake_alert
0,Glo: You have successfully activated 1.5GB Data Plan. Valid for 30 days. Dial *312# to check your data balance.,telco_info
0,Guy how far? You go dey online tonight for the match? Make we talk football.,personal
0,"Zenith Bank: Credit N23,000.00. Desc: NIP/TRANSFER FROM SUNDAY. Bal: N431,000.00.",bank_alert
0,"Access Bank: Credit N24,000.00. Desc: NIP/TRANSFER FROM EMMANUEL. Bal: N366,000.00.",bank_alert
1,"Federal Govt Empowerment Fund: You are eligible to receive N50,000 relief grant. Claim your grant here: http://fg-empowerment-ng.site",grant_fraud
1,"Dear customer, your BVN has been flagged for fraud. Kindly text your 11-digit BVN and DOB to 08024358304 to clear your profile.",banking_phishing
1,"Credit Alert: N489,000.00 credited to your account from IBRAHIM. Ref: TRX67960609. Call 07039156100 if you did not expect this payment.",fake_alert
0,I have arrived at Port Harcourt. Will call you once the meeting is done.,personal
1,URGENT: Your UBA account has been restricted due to unverified BVN. Call 08032748124 immediately to update your details.,banking_phishing
0,I have arrived at Enugu. Will call you once the meeting is done.,personal
1,"Credit Alert: N394,000.00 credited to your account from IBRAHIM. Ref: TRX11305024. Call 07031633565 if you did not expect this payment.",fake_alert
1,"Federal Govt Empowerment Fund: You are eligible to receive N50,000 relief grant. Claim your grant here: http://fg-empowerment-ng.site",grant_fraud
1,"Federal Govt Empowerment Fund: You are eligible to receive N50,000 relief grant. Claim your grant here: http://fg-empowerment-ng.site",grant_fraud
0,"PalmPay: Credit N47,000.00. Desc: NIP/TRANSFER FROM ADAMU. Bal: N741,000.00.",bank_alert
0,"PalmPay: Acct 012***6977 Debited: N2,000.00 Desc: POS PURCHASE - Port Harcourt. Bal: N28,000.00.",bank_alert
0,"Bro, abeg transfer N8,000 give me. I dey Abuja like this, money no dey my hand for transport.",personal
0,"FirstBank: Your One Time Password (OTP) is 698832 for transfer of N9,000.00 to OLUMIDE. Valid for 5 minutes. DO NOT SHARE.",otp
0,"Bro, abeg transfer N1,000 give me. I dey Enugu like this, money no dey my hand for transport.",personal
1,URGENT: Your PalmPay account has been restricted due to unverified NIN. Call 08037548534 immediately to update your details.,banking_phishing
0,I have arrived at Yaba. Will call you once the meeting is done.,personal
1,DEBT WARNING: OLUMIDE with phone 08022072095 is a chronic defaulter on QuickLoan. Pay your debt today to avoid publishing your BVN online.,loan_harassment
0,"GTBank: Credit N42,000.00. Desc: NIP/TRANSFER FROM ADAMU. Bal: N814,000.00.",bank_alert
0,I have arrived at Abuja. Will call you once the meeting is done.,personal
0,Guy how far? You go dey online tonight for the match? Make we talk football.,personal
0,"Airtel: Dear Customer, you have used 80% of your daily data bundle. Dial *323# to buy a top-up.",telco_info
0,Guy how far? You go dey online tonight for the match? Make we talk football.,personal
0,"Airtel: Dear Customer, you have used 80% of your daily data bundle. Dial *323# to buy a top-up.",telco_info
1,URGENT: Your GTBank account has been restricted due to unverified NIN. Call 09030689217 immediately to update your details.,banking_phishing
0,"Bro, abeg transfer N3,000 give me. I dey Enugu like this, money no dey my hand for transport.",personal
0,Guy how far? You go dey online tonight for the match? Make we talk football.,personal
0,9mobile: You have successfully activated 1.5GB Data Plan. Valid for 30 days. Dial *312# to check your data balance.,telco_info
0,Guy how far? You go dey online tonight for the match? Make we talk football.,personal
0,"Airtel: Dear Customer, you have used 80% of your daily data bundle. Dial *323# to buy a top-up.",telco_info
0,"Access Bank: Acct 012***9931 Debited: N7,000.00 Desc: POS PURCHASE - Ibadan. Bal: N22,000.00.",bank_alert
1,"ALERT: A transaction of N39,000 was attempted on your Fidelity app. If not you, click http://zenith-secure-portal.com to block account.",banking_phishing
1,"Credit Alert: N662,000.00 credited to your account from BLESSING. Ref: TRX43252591. Call 08031387162 if you did not expect this payment.",fake_alert
1,"Federal Govt Empowerment Fund: You are eligible to receive N50,000 relief grant. Claim your grant here: http://fg-empowerment-ng.site",grant_fraud
1,"Credit Alert: N594,000.00 credited to your account from CHIOMA. Ref: TRX29457121. Call 08137936315 if you did not expect this payment.",fake_alert
1,"CONGRATULATIONS! Your mobile number won N561,000 in the Airtel Promo. Pay N1,000 processing fee to account 0123456789 to receive cash.",advance_fee
0,I have arrived at Port Harcourt. Will call you once the meeting is done.,personal
0,"UBA: Your One Time Password (OTP) is 895894 for transfer of N9,000.00 to SUNDAY. Valid for 5 minutes. DO NOT SHARE.",otp
1,"Dear customer, your BVN has been flagged for fraud. Kindly text your 11-digit BVN and DOB to 07038454225 to clear your profile.",banking_phishing
0,I have arrived at Ikeja. Will call you once the meeting is done.,personal
1,"International Oil Company hiring Field Support Staff in Surulere. Earn N350,000 monthly. Send application details via WhatsApp: 08162629287",fake_job
0,Good morning ma. Please remember to buy bread and sachet water on your way back from work.,personal
1,"Get instant loan of N23,000 directly to your Kuda account in 2 minutes! No document needed. Download: bit.ly/ng-loan-69",loan_scam
1,"Invest N2,000 and get N15,000 in 45 minutes! 100% paying platform guaranteed. Join Telegram: t.me/ng_crypto_doubler",ponzi
1,"Central Bank Investment Scheme: N10,000 gives N30,000 in 24 hours. No loss. Call admin on 08161102529 now.",ponzi
1,"JOB OFFER: Urgently recruiting Admin Officers at Enugu, Lagos. Salary: N180,000/month. Text YES to 08037909919 for interview invitation.",fake_job
1,URGENT: Your FirstBank account has been restricted due to unverified KYC records. Call 09017898497 immediately to update your details.,banking_phishing
0,"9mobile: Dear Customer, you have used 80% of your daily data bundle. Dial *323# to buy a top-up.",telco_info
1,DEBT WARNING: EMMANUEL with phone 08029505285 is a chronic defaulter on FastCash. Pay your debt today to avoid publishing your BVN online.,loan_harassment
0,I have arrived at Lekki. Will call you once the meeting is done.,personal
1,"Federal Govt Empowerment Fund: You are eligible to receive N50,000 relief grant. Claim your grant here: http://fg-empowerment-ng.site",grant_fraud
0,"Bro, abeg transfer N4,000 give me. I dey Yaba like this, money no dey my hand for transport.",personal
0,9mobile: You have successfully activated 1.5GB Data Plan. Valid for 30 days. Dial *312# to check your data balance.,telco_info
1,"Central Bank Investment Scheme: N10,000 gives N30,000 in 24 hours. No loss. Call admin on 07035720802 now.",ponzi
0,"Bro, abeg transfer N4,000 give me. I dey Port Harcourt like this, money no dey my hand for transport.",personal
0,"OPay: Credit N41,000.00. Desc: NIP/TRANSFER FROM KELECHI. Bal: N950,000.00.",bank_alert
1,"Dear customer, your BVN has been flagged for fraud. Kindly text your 11-digit BVN and DOB to 09038638646 to clear your profile.",banking_phishing
0,"Bro, abeg transfer N4,000 give me. I dey Abuja like this, money no dey my hand for transport.",personal
1,"Federal Govt Empowerment Fund: You are eligible to receive N50,000 relief grant. Claim your grant here: http://fg-empowerment-ng.site",grant_fraud
1,"Central Bank Investment Scheme: N10,000 gives N30,000 in 24 hours. No loss. Call admin on 09018639061 now.",ponzi
0,"Access Bank: Credit N27,000.00. Desc: NIP/TRANSFER FROM CHUKWUEMEKA. Bal: N243,000.00.",bank_alert
0,"OPay: Acct 012***4112 Debited: N8,000.00 Desc: POS PURCHASE - Abuja. Bal: N37,000.00.",bank_alert
0,"FirstBank: Credit N32,000.00. Desc: NIP/TRANSFER FROM ADAMU. Bal: N734,000.00.",bank_alert
1,"Get instant loan of N35,000 directly to your GTBank account in 2 minutes! No document needed. Download: bit.ly/ng-loan-83",loan_scam
0,"Glo: Dear Customer, you have used 80% of your daily data bundle. Dial *323# to buy a top-up.",telco_info
1,DEBT WARNING: KELECHI with phone 07030675602 is a chronic defaulter on QuickLoan. Pay your debt today to avoid publishing your BVN online.,loan_harassment
0,"FirstBank: Credit N10,000.00. Desc: NIP/TRANSFER FROM IBRAHIM. Bal: N537,000.00.",bank_alert
1,URGENT: Your Access Bank account has been restricted due to unverified BVN. Call 09011583281 immediately to update your details.,banking_phishing
0,Guy how far? You go dey online tonight for the match? Make we talk football.,personal
1,"ALERT: A transaction of N32,000 was attempted on your UBA app. If not you, click http://gtb-secure-portal.com to block account.",banking_phishing
1,"JOB OFFER: Urgently recruiting Admin Officers at Ikeja, Lagos. Salary: N180,000/month. Text YES to 08020800458 for interview invitation.",fake_job
0,"Kuda: Your One Time Password (OTP) is 482585 for transfer of N8,000.00 to CHUKWUEMEKA. Valid for 5 minutes. DO NOT SHARE.",otp
0,"Bro, abeg transfer N1,000 give me. I dey Surulere like this, money no dey my hand for transport.",personal
1,"Dear customer, your BVN has been flagged for fraud. Kindly text your 11-digit BVN and DOB to 09032056341 to clear your profile.",banking_phishing
1,"CONGRATULATIONS! Your mobile number won N878,000 in the Airtel Promo. Pay N3,000 processing fee to account 0123456789 to receive cash.",advance_fee
0,I have arrived at Enugu. Will call you once the meeting is done.,personal
0,"Zenith Bank: Your One Time Password (OTP) is 656208 for transfer of N8,000.00 to EMMANUEL. Valid for 5 minutes. DO NOT SHARE.",otp
1,"JOB OFFER: Urgently recruiting Admin Officers at Port Harcourt, Lagos. Salary: N180,000/month. Text YES to 08127372041 for interview invitation.",fake_job
0,Good morning ma. Please remember to buy bread and sachet water on your way back from work.,personal
0,"Access Bank: Your One Time Password (OTP) is 435883 for transfer of N7,000.00 to KELECHI. Valid for 5 minutes. DO NOT SHARE.",otp
0,"PalmPay: Your One Time Password (OTP) is 220512 for transfer of N5,000.00 to IBRAHIM. Valid for 5 minutes. DO NOT SHARE.",otp
0,9mobile: You have successfully activated 1.5GB Data Plan. Valid for 30 days. Dial *312# to check your data balance.,telco_info
1,"JOB OFFER: Urgently recruiting Admin Officers at Lekki, Lagos. Salary: N180,000/month. Text YES to 08021094989 for interview invitation.",fake_job
1,"Dear customer, your BVN has been flagged for fraud. Kindly text your 11-digit BVN and DOB to 08163330773 to clear your profile.",banking_phishing
1,URGENT: Your Access Bank account has been restricted due to unverified KYC records. Call 09039380118 immediately to update your details.,banking_phishing
1,"International Oil Company hiring Field Support Staff in Port Harcourt. Earn N350,000 monthly. Send application details via WhatsApp: 09035118256",fake_job
1,"Credit Alert: N151,000.00 credited to your account from KELECHI. Ref: TRX36470408. Call 08130926978 if you did not expect this payment.",fake_alert
0,I have arrived at Abuja. Will call you once the meeting is done.,personal
1,DEBT WARNING: IBRAHIM with phone 09010765573 is a chronic defaulter on LendNG. Pay your debt today to avoid publishing your BVN online.,loan_harassment
0,"Bro, abeg transfer N5,000 give me. I dey Enugu like this, money no dey my hand for transport.",personal
0,"FirstBank: Acct 012***5001 Debited: N2,000.00 Desc: POS PURCHASE - Ibadan. Bal: N31,000.00.",bank_alert
0,Airtel: You have successfully activated 1.5GB Data Plan. Valid for 30 days. Dial *312# to check your data balance.,telco_info
1,"JOB OFFER: Urgently recruiting Admin Officers at Ikeja, Lagos. Salary: N180,000/month. Text YES to 08168000133 for interview invitation.",fake_job
1,URGENT: Your Zenith Bank account has been restricted due to unverified NIN. Call 09032364956 immediately to update your details.,banking_phishing
0,"PalmPay: Credit N47,000.00. Desc: NIP/TRANSFER FROM KELECHI. Bal: N187,000.00.",bank_alert
0,Guy how far? You go dey online tonight for the match? Make we talk football.,personal
0,MTN: You have successfully activated 1.5GB Data Plan. Valid for 30 days. Dial *312# to check your data balance.,telco_info
1,"JOB OFFER: Urgently recruiting Admin Officers at Port Harcourt, Lagos. Salary: N180,000/month. Text YES to 08031718729 for interview invitation.",fake_job
1,"International Oil Company hiring Field Support Staff in Yaba. Earn N350,000 monthly. Send application details via WhatsApp: 09017325737",fake_job
1,"ALERT: A transaction of N39,000 was attempted on your FirstBank app. If not you, click http://firstbank-secure-portal.com to block account.",banking_phishing
0,Glo: You have successfully activated 1.5GB Data Plan. Valid for 30 days. Dial *312# to check your data balance.,telco_info
0,"MTN: Dear Customer, you have used 80% of your daily data bundle. Dial *323# to buy a top-up.",telco_info
0,Airtel: You have successfully activated 1.5GB Data Plan. Valid for 30 days. Dial *312# to check your data balance.,telco_info
0,I have arrived at Abuja. Will call you once the meeting is done.,personal
0,9mobile: You have successfully activated 1.5GB Data Plan. Valid for 30 days. Dial *312# to check your data balance.,telco_info
1,"Central Bank Investment Scheme: N10,000 gives N30,000 in 24 hours. No loss. Call admin on 09012857256 now.",ponzi
0,"MTN: Dear Customer, you have used 80% of your daily data bundle. Dial *323# to buy a top-up.",telco_info
1,"Credit Alert: N500,000.00 credited to your account from ADAMU. Ref: TRX69256708. Call 08160060398 if you did not expect this payment.",fake_alert
1,"JOB OFFER: Urgently recruiting Admin Officers at Kano, Lagos. Salary: N180,000/month. Text YES to 08162998726 for interview invitation.",fake_job
1,"International Oil Company hiring Field Support Staff in Abuja. Earn N350,000 monthly. Send application details via WhatsApp: 09036611772",fake_job
0,Good morning ma. Please remember to buy bread and sachet water on your way back from work.,personal
1,"ALERT: A transaction of N26,000 was attempted on your PalmPay app. If not you, click http://firstbank-secure-portal.com to block account.",banking_phishing
0,"Bro, abeg transfer N8,000 give me. I dey Port Harcourt like this, money no dey my hand for transport.",personal
1,"CONGRATULATIONS! Your mobile number won N442,000 in the 9mobile Promo. Pay N2,000 processing fee to account 0123456789 to receive cash.",advance_fee
0,Glo: You have successfully activated 1.5GB Data Plan. Valid for 30 days. Dial *312# to check your data balance.,telco_info
0,"MTN: Dear Customer, you have used 80% of your daily data bundle. Dial *323# to buy a top-up.",telco_info
1,"JOB OFFER: Urgently recruiting Admin Officers at Enugu, Lagos. Salary: N180,000/month. Text YES to 08034490925 for interview invitation.",fake_job
1,"Credit Alert: N589,000.00 credited to your account from BLESSING. Ref: TRX60203335. Call 07032057036 if you did not expect this payment.",fake_alert
0,Guy how far? You go dey online tonight for the match? Make we talk football.,personal
1,"JOB OFFER: Urgently recruiting Admin Officers at Lekki, Lagos. Salary: N180,000/month. Text YES to 09018818837 for interview invitation.",fake_job
0,"OPay: Your One Time Password (OTP) is 485709 for transfer of N5,000.00 to SUNDAY. Valid for 5 minutes. DO NOT SHARE.",otp
1,"Dear customer, your BVN has been flagged for fraud. Kindly text your 11-digit BVN and DOB to 09012843044 to clear your profile.",banking_phishing
1,"Invest N5,000 and get N15,000 in 45 minutes! 100% paying platform guaranteed. Join Telegram: t.me/ng_crypto_doubler",ponzi
0,"MTN: Dear Customer, you have used 80% of your daily data bundle. Dial *323# to buy a top-up.",telco_info
0,"Access Bank: Your One Time Password (OTP) is 861607 for transfer of N2,000.00 to OLUMIDE. Valid for 5 minutes. DO NOT SHARE.",otp
0,"FirstBank: Your One Time Password (OTP) is 845380 for transfer of N6,000.00 to CHUKWUEMEKA. Valid for 5 minutes. DO NOT SHARE.",otp
1,"Central Bank Investment Scheme: N10,000 gives N30,000 in 24 hours. No loss. Call admin on 09036568629 now.",ponzi
1,"Get instant loan of N28,000 directly to your FirstBank account in 2 minutes! No document needed. Download: bit.ly/ng-loan-19",loan_scam
0,Airtel: You have successfully activated 1.5GB Data Plan. Valid for 30 days. Dial *312# to check your data balance.,telco_info
0,"MTN: Dear Customer, you have used 80% of your daily data bundle. Dial *323# to buy a top-up.",telco_info
0,"UBA: Your One Time Password (OTP) is 598705 for transfer of N6,000.00 to EMMANUEL. Valid for 5 minutes. DO NOT SHARE.",otp
0,"UBA: Credit N49,000.00. Desc: NIP/TRANSFER FROM SUNDAY. Bal: N691,000.00.",bank_alert
0,Good morning ma. Please remember to buy bread and sachet water on your way back from work.,personal
0,I have arrived at Enugu. Will call you once the meeting is done.,personal
0,9mobile: You have successfully activated 1.5GB Data Plan. Valid for 30 days. Dial *312# to check your data balance.,telco_info
1,"Invest N6,000 and get N38,000 in 45 minutes! 100% paying platform guaranteed. Join Telegram: t.me/ng_crypto_doubler",ponzi
0,I have arrived at Port Harcourt. Will call you once the meeting is done.,personal
0,I have arrived at Enugu. Will call you once the meeting is done.,personal
0,I have arrived at Lekki. Will call you once the meeting is done.,personal
1,DEBT WARNING: CHUKWUEMEKA with phone 08123936044 is a chronic defaulter on LendNG. Pay your debt today to avoid publishing your BVN online.,loan_harassment
0,"Fidelity: Acct 012***4656 Debited: N1,000.00 Desc: POS PURCHASE - Ibadan. Bal: N40,000.00.",bank_alert
0,9mobile: You have successfully activated 1.5GB Data Plan. Valid for 30 days. Dial *312# to check your data balance.,telco_info
1,"CONGRATULATIONS! Your mobile number won N291,000 in the Airtel Promo. Pay N9,000 processing fee to account 0123456789 to receive cash.",advance_fee
1,"International Oil Company hiring Field Support Staff in Kano. Earn N350,000 monthly. Send application details via WhatsApp: 09019693259",fake_job
1,URGENT: Your OPay account has been restricted due to unverified BVN. Call 08022280442 immediately to update your details.,banking_phishing
1,"Credit Alert: N199,000.00 credited to your account from IBRAHIM. Ref: TRX70573386. Call 08127619903 if you did not expect this payment.",fake_alert
1,"Get instant loan of N38,000 directly to your Access Bank account in 2 minutes! No document needed. Download: bit.ly/ng-loan-42",loan_scam
0,"OPay: Credit N33,000.00. Desc: NIP/TRANSFER FROM OLUMIDE. Bal: N306,000.00.",bank_alert
1,"CONGRATULATIONS! Your mobile number won N501,000 in the Glo Promo. Pay N2,000 processing fee to account 0123456789 to receive cash.",advance_fee
1,"Dear customer, your BVN has been flagged for fraud. Kindly text your 11-digit BVN and DOB to 08135022774 to clear your profile.",banking_phishing
1,"CONGRATULATIONS! Your mobile number won N184,000 in the Glo Promo. Pay N8,000 processing fee to account 0123456789 to receive cash.",advance_fee
0,"GTBank: Acct 012***8815 Debited: N3,000.00 Desc: POS PURCHASE - Ibadan. Bal: N17,000.00.",bank_alert
0,9mobile: You have successfully activated 1.5GB Data Plan. Valid for 30 days. Dial *312# to check your data balance.,telco_info
0,9mobile: You have successfully activated 1.5GB Data Plan. Valid for 30 days. Dial *312# to check your data balance.,telco_info
0,"Bro, abeg transfer N8,000 give me. I dey Enugu like this, money no dey my hand for transport.",personal
0,MTN: You have successfully activated 1.5GB Data Plan. Valid for 30 days. Dial *312# to check your data balance.,telco_info
0,"Airtel: Dear Customer, you have used 80% of your daily data bundle. Dial *323# to buy a top-up.",telco_info
0,"Zenith Bank: Your One Time Password (OTP) is 248670 for transfer of N5,000.00 to ADAMU. Valid for 5 minutes. DO NOT SHARE.",otp
1,"Central Bank Investment Scheme: N10,000 gives N30,000 in 24 hours. No loss. Call admin on 08027037613 now.",ponzi
0,"Bro, abeg transfer N6,000 give me. I dey Enugu like this, money no dey my hand for transport.",personal
0,Airtel: You have successfully activated 1.5GB Data Plan. Valid for 30 days. Dial *312# to check your data balance.,telco_info
1,"Dear customer, your BVN has been flagged for fraud. Kindly text your 11-digit BVN and DOB to 08020757918 to clear your profile.",banking_phishing
1,DEBT WARNING: IBRAHIM with phone 09018254677 is a chronic defaulter on LendNG. Pay your debt today to avoid publishing your BVN online.,loan_harassment
0,Good morning ma. Please remember to buy bread and sachet water on your way back from work.,personal
0,"Bro, abeg transfer N1,000 give me. I dey Port Harcourt like this, money no dey my hand for transport.",personal
0,"Zenith Bank: Acct 012***6015 Debited: N4,000.00 Desc: POS PURCHASE - Yaba. Bal: N28,000.00.",bank_alert
1,"Federal Govt Empowerment Fund: You are eligible to receive N50,000 relief grant. Claim your grant here: http://fg-empowerment-ng.site",grant_fraud
1,URGENT: Your Kuda account has been restricted due to unverified KYC records. Call 08167382646 immediately to update your details.,banking_phishing
0,Guy how far? You go dey online tonight for the match? Make we talk football.,personal
0,"Bro, abeg transfer N1,000 give me. I dey Yaba like this, money no dey my hand for transport.",personal
1,"ALERT: A transaction of N28,000 was attempted on your Access Bank app. If not you, click http://gtb-secure-portal.com to block account.",banking_phishing
1,"Invest N4,000 and get N38,000 in 45 minutes! 100% paying platform guaranteed. Join Telegram: t.me/ng_crypto_doubler",ponzi
1,"Central Bank Investment Scheme: N10,000 gives N30,000 in 24 hours. No loss. Call admin on 08028958123 now.",ponzi
0,"Bro, abeg transfer N1,000 give me. I dey Surulere like this, money no dey my hand for transport.",personal
1,URGENT: Your Kuda account has been restricted due to unverified BVN. Call 07030767899 immediately to update your details.,banking_phishing
0,Guy how far? You go dey online tonight for the match? Make we talk football.,personal
0,"GTBank: Acct 012***3566 Debited: N9,000.00 Desc: POS PURCHASE - Port Harcourt. Bal: N21,000.00.",bank_alert
1,"Get instant loan of N36,000 directly to your OPay account in 2 minutes! No document needed. Download: bit.ly/ng-loan-42",loan_scam
0,"Access Bank: Your One Time Password (OTP) is 719852 for transfer of N1,000.00 to CHUKWUEMEKA. Valid for 5 minutes. DO NOT SHARE.",otp
1,DEBT WARNING: BLESSING with phone 07035592815 is a chronic defaulter on LendNG. Pay your debt today to avoid publishing your BVN online.,loan_harassment
